title:,author,length
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
Come As You Are: Revised and Updated,Emily Nagoski PhD,Length: 11 hrs and 30 mins
Singularity Tower,Deacon Frost,Length: 11 hrs and 42 mins
Inheritance,Christopher Paolini,Length: 31 hrs and 17 mins
What to Do Next,Jeff Henderson,Length: 5 hrs and 23 mins
Masters of Hex,Lily Harper Hart,Length: 6 hrs and 52 mins
Tatiana and Alexander,Paullina Simons,Length: 18 hrs and 48 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
Bookshops & Bonedust,Travis Baldree,Length: 8 hrs and 1 min
Freed,E. L. James,Length: 27 hrs and 15 mins
Covet,Tracy Wolff,Length: 21 hrs and 39 mins
Go Tell the Bees That I Am Gone,Diana Gabaldon,Length: 49 hrs and 27 mins
Broken Money,Lyn Alden,Length: 17 hrs and 31 mins
Lady of Ashes,Melissa Roehrich,Length: 24 hrs and 25 mins
The Silencer Series Box Set Books 1-4,Mike Ryan,Length: 20 hrs and 25 mins
Fall of Radiance,Blake Arthur Peel,Length: 50 hrs and 59 mins
The Infinite and the Divine,Robert Rath,Length: 13 hrs and 21 mins
A Fire in the Flesh,Jennifer L. Armentrout,Length: 24 hrs and 3 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
Stray Cat Strut 5: A Cyberpunk LitRPG,RavensDagger,Length: 12 hrs and 7 mins
Attached,"Amir Levine,Rachel Heller",Length: 7 hrs and 4 mins
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",Length: 15 hrs and 40 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
Outlander,Diana Gabaldon,Length: 32 hrs and 38 mins
The Fall of Cadia,Robert Rath,Length: 19 hrs and 42 mins
Broken Dreams,Corinne Michaels,Length: 9 hrs and 54 mins
The Downloaded,Robert J. Sawyer,Length: 5 hrs and 39 mins
Hidden Shadows,Nyssa Kathryn,Length: 5 hrs and 13 mins
"Overlord, Vol. 11 (Light Novel)","Kugane Maruyama,so-bin - illustrator",Length: 10 hrs
The Movie Book,DK,Length: 15 hrs and 3 mins
The Rules of Dating My One-Night Stand,"Penelope Ward,Vi Keeland",Length: 9 hrs and 12 mins
Ghost Stories: Stephen Fry's Definitive Collection,"Stephen Fry,Washington Irving,M.R. James,Amelia B. Edwards,Robert Louis Stevenson,Algernon Blackwood,Edgar Allan Poe,Charlotte Riddell,Bram Stoker",Length: 8 hrs and 18 mins
Unity,"Dan Sugralinov,Jennifer E. Sunseri - translator",Length: 10 hrs and 54 mins
The Widow's Watcher,Eliza Maxwell,Length: 7 hrs and 54 mins
Brisingr,Christopher Paolini,Length: 29 hrs and 34 mins
Other Plans,Caimh McDonnell,Length: 11 hrs and 31 mins
Horus Rising,Dan Abnett,Length: 12 hrs and 14 mins
The Scot's Destiny,Keira Montclair,Length: 3 hrs and 36 mins
